Código da IES,Nome da IES,Sigla da IES,Município,UF,Categoria Administrativa,Organização Acadêmica
14165,FACULDADE TRÊS PONTAS,FATEP,TRES PONTAS,MG,Privada,Faculdade
3184,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,BOA VISTA,RR,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,"SAO JOSE DO RIOPRETO",SP,Privada,Centro Universitário
1055,FACULDADE MAURÍCIO DE NASSAU DE SALVADOR,FMN SALVADOR,SALVADOR,BA,Privada,Faculdade
344,CENTRO UNIVERSITÁRIO UNA,UNA,BELO HORIZONTE,MG,Privada,Centro Universitário
2241,FACULDADE DO SUDESTE MINEIRO,FACSUM,JUIZ DE FORA,MG,Privada,Faculdade
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PETROLINA,PE,Pública,Universidade
668,CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS,CIESA,MANAUS,AM,Privada,Centro Universitário
4185,FACULDADE PERUIBE,FPBE,PERUIBE,SP,Privada,Faculdade
1141,FACULDADE GAMA E SOUZA,FGS,RIO DE JANEIRO,RJ,Privada,Faculdade
4255,FACULDADES INTEGRADAS DE CACOAL,UNESC,CACOAL,RO,Privada,Faculdade
4995,FACULDADE CRUZ AZUL,FACRAZ,SAO PAULO,SP,Privada,Faculdade
1878,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS,FEI,"SAO BERNARDO DOCAMPO",SP,Privada,Centro Universitário
518,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,BRASILIA,DF,Privada,Centro Universitário
2756,FACULDADE ANHANGUERA DE VALPARAÍSO,FAV,"VALPARAISO DEGOIAS",GO,Privada,Faculdade
1838,FACULDADES INTEGRADAS RIO BRANCO,FRB,SAO PAULO,SP,Privada,Faculdade
1713,FACULDADE DE TECNOLOGIA DE SÃO VICENTE,FATEF,SAO VICENTE,SP,Privada,Faculdade
203,UNIVERSIDADE SÃO JUDAS TADEU,USJT,SAO PAULO,SP,Privada,Universidade
2787,FACULDADES PEQUENO PRÍNCIPE,FPP,CURITIBA,PR,Privada,Faculdade
1113,CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIEURO,BRASILIA,DF,Privada,Centro Universitário
464,FACULDADE DE ECONOMIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FEC-FAAP,SAO PAULO,SP,Privada,Faculdade
3933,FACULDADE MÉTODO DE SÃO PAULO,FAMESP,SAO PAULO,SP,Privada,Faculdade
2497,FACULDADE ATENEU,FATE,FORTALEZA,CE,Privada,Faculdade
472,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,DUQUE DE CAXIAS,RJ,Privada,Universidade
4021,FACULDADE DE TECNOLOGIA DE GARÇA,FATECGA,GARCA,SP,Pública,Faculdade
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,CRICIUMA,SC,Privada,Universidade
15015,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,UENP,JACAREZINHO,PR,Pública,Universidade
641,CENTRO UNIVERSITÁRIO LA SALLE,UNILASALLE,CANOAS,RS,Privada,Centro Universitário
672,FACULDADE DE ENGENHARIA DE SOROCABA,FACENS,SOROCABA,SP,Privada,Faculdade
5066,FACULDADE PITÁGORAS DE TECNOLOGIA DE CONTAGEM,,CONTAGEM,MG,Privada,Faculdade
1846,CENTRO UNIVERSITÁRIO DE LINS,UNILINS,LINS,SP,Privada,Centro Universitário
15581,FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS - JESSEN VIDAL,FATECSJCAMPOS,"SAO JOSE DOSCAMPOS",SP,Pública,Faculdade
10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,CURITIBA,PR,Privada,Universidade
403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,BRASILIA,DF,Privada,Universidade
29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,FORTALEZA,CE,Pública,Universidade
1507,FACULDADE PROJEÇÃO DE CEILÂNDIA,FACEB,BRASILIA,DF,Privada,Faculdade
4819,FACULDADE DE TECNOLOGIA SENAI MARIANO FERRAZ,,SAO PAULO,SP,Privada,Faculdade
269,FACULDADE FACCAT,FACCAT,TUPA,SP,Privada,Faculdade
780,UNIVERSIDADE DE CUIABÁ,UNIC / PITÁGORAS,CUIABA,MT,Privada,Universidade
3160,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,MACEIO,AL,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
1575,CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ,UNIARAXÁ,ARAXA,MG,Privada,Centro Universitário
891,FACULDADE ANHANGUERA DE BELO HORIZONTE,,BELO HORIZONTE,MG,Privada,Faculdade
3533,FACULDADE CERES,FACERES,"SAO JOSE DO RIOPRETO",SP,Privada,Faculdade
1445,CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,CEUN-IMT,"SAO CAETANO DOSUL",SP,Privada,Centro Universitário
2783,FACULDADE DE TECNOLOGIA DO NORDESTE,FATENE,FORTALEZA,CE,Privada,Faculdade
3817,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA,"FMN JOÃOPESSOA",JOAO PESSOA,PB,Privada,Faculdade
15715,FACULDADE DE TECNOLOGIA DE LINS,FATEC LINS,LINS,SP,Pública,Faculdade
3669,FACULDADE DOM LUIS DE ORLEANS E BRAGANÇA,FARRP,RIBEIRA DO POMBAL,BA,Privada,Faculdade
4522,CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM,UNISALESIANO,LINS,SP,Privada,Centro Universitário
1773,FACULDADE DE ITAPIRANGA,SEI/FAI,ITAPIRANGA,SC,Privada,Faculdade
1043,CENTRO UNIVERSITÁRIO HERMINIO OMETTO,UNIARARAS,ARARAS,SP,Privada,Centro Universitário
1950,FACULDADE DE ORLÂNDIA,FAO,ORLANDIA,SP,Privada,Faculdade
1619,FACULDADE ERNESTO RISCALI,FAER,OLIMPIA,SP,Privada,Faculdade
3333,FACULDADE DE TECNOLOGIA TECBRASIL,Ftec Caxias,CAXIAS DO SUL,RS,Privada,Faculdade
1647,FACULDADE DE ENSINO E CULTURA DO CEARÁ,FAECE,FORTALEZA,CE,Privada,Faculdade
1988,FACULDADE AVANTIS,AVANTIS,"BALNEARIOCAMBORIU",SC,Privada,Faculdade
1554,FACULDADES INTEGRADAS DO VALE DO RIBEIRA,FIVR,REGISTRO,SP,Privada,Faculdade
3840,CENTRO UNIVERSITÁRIO FACVEST,FACVEST,LAGES,SC,Privada,Centro Universitário
699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,PORTO VELHO,RO,Pública,Universidade
1240,FACULDADE DE ESTUDOS SOCIAIS DO ESPÍRITO SANTO,PIO XII,CARIACICA,ES,Privada,Faculdade
4094,FACULDADE DE TECNOLOGIA IBRATEC DE JOÃO PESSOA,UNIBRATEC,JOAO PESSOA,PB,Privada,Faculdade
1918,FACULDADE CAPIVARI,FUCAP,CAPIVARI DE BAIXO,SC,Privada,Faculdade
2538,FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,"VENDA NOVA DOIMIGRANTE",ES,Privada,Faculdade
434,FACULDADE SANTA MARCELINA,FASM,SAO PAULO,SP,Privada,Faculdade
878,CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS,UNILESTEMG,"CORONELFABRICIANO",MG,Privada,Centro Universitário
398,UNIVERSIDADE TIRADENTES,UNIT,ARACAJU,SE,Privada,Universidade
82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,JOACABA,SC,Pública,Universidade
670,UNIVERSIDADE SÃO FRANCISCO,USF,"BRAGANCAPAULISTA",SP,Privada,Universidade
3815,FACULDADE DE DIREITO DE ALTA FLORESTA,,ALTA FLORESTA,MT,Privada,Faculdade
441,UNIVERSIDADE DO CONTESTADO,UNC,MAFRA,SC,Privada,Universidade
3180,INSTITUTO SUPERIOR DE EDUCAÇÃO UNIÃO DAS AMÉRICAS,UNIAMÉRICA,FOZ DO IGUACU,PR,Privada,Faculdade
1674,INSTITUTO SALESIANO DE FILOSOFIA,INSAF,RECIFE,PE,Privada,Faculdade
446,UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,CRUZ ALTA,RS,Privada,Universidade
276,FACULDADE DE DIREITO DE SOROCABA,FADI,SOROCABA,SP,Privada,Faculdade
383,UNIVERSIDADE DA AMAZÔNIA,UNAMA,BELEM,PA,Privada,Universidade
1149,CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,SALTO,SP,Privada,Centro Universitário
3368,CENTRO UNIVERSITÁRIO DO SUL DE MINAS,UNIS-MG,VARGINHA,MG,Privada,Centro Universitário
1456,FACULDADE ANHANGUERA DE SERTÃOZINHO,FASERT,SERTAOZINHO,SP,Privada,Faculdade
1426,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,ILES,ITUMBIARA,GO,Privada,Faculdade
3163,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,RIO DE JANEIRO,RJ,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
2113,FACULDADE DOM BOSCO DE PORTO ALEGRE,FDB,PORTO ALEGRE,RS,Privada,Faculdade
4901,FACULDADE FASIPE,FASIPE,SINOP,MT,Privada,Faculdade
1468,FACULDADE ESAMC UBERLÂNDIA,ESAMC,UBERLANDIA,MG,Privada,Faculdade
2355,FACULDADE ANHANGUERA DE MATÃO,,MATAO,SP,Privada,Faculdade
1032,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,UNISAL,AMERICANA,SP,Privada,Centro Universitário
3699,FACULDADE ECOAR,FAECO,PASSO FUNDO,RS,Privada,Faculdade
1561,FACULDADE ESAMC SOROCABA,ESAMC,SOROCABA,SP,Privada,Faculdade
1452,FACULDADE ATENAS MARANHENSE,FAMA,SAO LUIS,MA,Privada,Faculdade
844,FACULDADE DE AGRONOMIA E ENGENHARIA FLORESTAL DE GARÇA,FAEF,GARCA,SP,Privada,Faculdade
423,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,ERECHIM,RS,Privada,Universidade
1142,FACULDADES INTEGRADAS DE VITÓRIA,FDV,VITORIA,ES,Privada,Faculdade
426,CENTRO UNIVERSITÁRIO FRANCISCANO,UNIFRA,SANTA MARIA,RS,Privada,Centro Universitário
4669,FACULDADE DELTA,"FACULDADEDELTA",GOIANIA,GO,Privada,Faculdade
5670,FACULDADES UNIDAS DO VALE DO ARAGUAIA,UNIVAR,BARRA DO GARCAS,MT,Privada,Faculdade
823,UNIVERSIDADE DO CEUMA - UNICEUMA,UNICEUMA,SAO LUIS,MA,Privada,Universidade
1312,FACULDADES INTEGRADAS DE RONDONÓPOLIS,FAIR,RONDONOPOLIS,MT,Privada,Faculdade
2794,FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO,FAIESP,RONDONOPOLIS,MT,Privada,Faculdade
2147,FACULDADE METROPOLITANA DE MANAUS,FAMETRO,MANAUS,AM,Privada,Faculdade
2171,INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR,IBHES,BELO HORIZONTE,MG,Privada,Faculdade
3437,FACULDADE DO LITORAL CATARINENSE,FLC,"BALNEARIOCAMBORIU",SC,Privada,Faculdade
550,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,CAMPINA GRANDE,PB,Pública,Universidade
1809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,RECIFE,PE,Pública,"Instituto Federal de Educação, Ciência e Tecnologia"
4661,FACULDADE DE AGRONEGÓCIO PARAÍSO DO NORTE,FAPAN,PARAISO DO NORTE,PR,Privada,Faculdade
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,MANAUS,AM,Pública,Universidade
688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,"VITORIA DACONQUISTA",BA,Pública,Universidade
4420,FACULDADES INTEGRADAS BARROS MELO,FIBAM,OLINDA,PE,Privada,Faculdade
2580,INSTITUTO SUPERIOR DE EDUCAÇÃO PAULO MARTINS,ISPAM,BRASILIA,DF,Privada,Faculdade
5276,FACULDADE COMUNITÁRIA DE CARANGOLA,FCC,CARANGOLA,MG,Privada,Faculdade
907,FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE INDAIATUBA,FECGI,INDAIATUBA,SP,Privada,Faculdade
2188,INSTITUTO SUPERIOR DE EDUCAÇÃO NOSSA SENHORA DE SION,ISE - SION,CURITIBA,PR,Privada,Faculdade
4598,FACULDADE DE CIÊNCIAS GERENCIAIS BARÃO DE JUNDIAÍ,FCG,JUNDIAI,SP,Privada,Faculdade
1247,FACULDADE DE CIÊNCIAS CONTÁBEIS DE NOVA ANDRADINA - FACINAN,FACINAN,NOVA ANDRADINA,MS,Privada,Faculdade
4362,FACULDADE PITÁGORAS DE BETIM,PITÁGORAS-BETIM,BETIM,MG,Privada,Faculdade
15708,FACULDADE DE TECNOLOGIA DR. THOMAZ NOVELINO,FATEC Franca,FRANCA,SP,Pública,Faculdade
555,UNIVERSIDADE DE FORTALEZA,UNIFOR,FORTALEZA,CE,Privada,Universidade
421,FACULDADE ESTADUAL DE CIÊNCIAS E LETRAS DE CAMPO MOURÃO,FECILCAM,CAMPO MOURAO,PR,Pública,Faculdade
4261,FACULDADE DE TECNOLOGIA DE PORTO ALEGRE,FAQI,PORTO ALEGRE,RS,Privada,Faculdade
4724,FACULDADE DE CIÊNCIAS HUMANAS DE CRUZEIRO,FACIC,CRUZEIRO,SP,Privada,Faculdade
3371,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,UNIPAM,PATOS DE MINAS,MG,Privada,Centro Universitário
3936,FACULDADE ANHANGUERA DE LIMEIRA,,LIMEIRA,SP,Privada,Faculdade
207,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,RIBEIRAO PRETO,SP,Privada,Centro Universitário
4655,FACULDADE ANHANGÜERA DE SOROCABA,FSO,SOROCABA,SP,Privada,Faculdade
387,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,CAMPO GRANDE,MS,Privada,Universidade
3985,CENTRO UNIVERSITÁRIO SENAC,SENACSP,SAO PAULO,SP,Privada,Centro Universitário
2582,FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ,UCP,PITANGA,PR,Privada,Faculdade
2330,FACULDADE CÂNDIDO RONDON - FCR,FCR,CUIABA,MT,Privada,Faculdade
797,FACULDADE AVEC DE VILHENA,AVEC,VILHENA,RO,Privada,Faculdade
1601,FACULDADE CIDADE DE COROMANDEL,FCC,COROMANDEL,MG,Privada,Faculdade
2485,FACULDADE CATÓLICA DE FORTALEZA,FCF,FORTALEZA,CE,Privada,Faculdade
1414,FACULDADE SÃO LUCAS,FSL,PORTO VELHO,RO,Privada,Faculdade
494,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,TUBARAO,SC,Privada,Universidade
11308,FACULDADE ANHANGUERA DE SUMARÉ,FACSUMARÉ,SUMARE,SP,Privada,Faculdade
3697,FACULDADE DE TECNOLOGIA SAINT PASTOUS,FSP,PORTO ALEGRE,RS,Privada,Faculdade
2775,FACULDADES INTEGRADAS DESEMBARGADOR SÁVIO BRANDÃO,FAUSB,VARZEA GRANDE,MT,Privada,Faculdade
1131,FACULDADE SANTO AGOSTINHO,FSA,TERESINA,PI,Privada,Faculdade
798,FACULDADES INTEGRADAS DE ARACRUZ,FAACZ,ARACRUZ,ES,Privada,Faculdade
2174,FACULDADE DE SANTA CATARINA,FASC,SAO JOSE,SC,Privada,Faculdade
384,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,UNIEVANGÉLICA,ANAPOLIS,GO,Privada,Centro Universitário
2383,FACULDADE MERIDIONAL,IMED,PASSO FUNDO,RS,Privada,Faculdade
1237,FACULDADE NOSSA SENHORA APARECIDA,FANAP,"APARECIDA DEGOIANIA",GO,Privada,Faculdade
1518,FACULDADE SANTA TEREZINHA,FAST,BRASILIA,DF,Privada,Faculdade
3631,FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ,FADIC,RECIFE,PE,Privada,Faculdade
385,UNIVERSIDADE SALVADOR,UNIFACS,SALVADOR,BA,Privada,Universidade
13106,FACULDADE DE TECNOLOGIA LOURENÇO FILHO,FATEC FLF,FORTALEZA,CE,Privada,Faculdade
2150,FACULDADE DO PIAUÍ,FAPI,TERESINA,PI,Privada,Faculdade
3862,FACULDADE LUCIANO FEIJÃO,FLF,SOBRAL,CE,Privada,Faculdade
1986,FACULDADE ESTÁCIO DE SÁ DE JUIZ DE FORA,FESJF,JUIZ DE FORA,MG,Privada,Faculdade
2205,FACULDADE DE TUPI PAULISTA,CESTUPI,TUPI PAULISTA,SP,Privada,Faculdade
517,FACULDADE DE EDUCAÇÃO SÃO LUÍS,FESL,JABOTICABAL,SP,Privada,Faculdade
3270,FACULDADE SÃO BENTO DA BAHIA,,SALVADOR,BA,Privada,Faculdade
60,CENTRO UNIVERSITÁRIO DE FRANCA,UNI-FACEF,FRANCA,SP,Pública,Centro Universitário
1736,CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO,UNILASALLE/RJ,NITEROI,RJ,Privada,Centro Universitário
1437,ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO,ESRC,RIO CLARO,SP,Privada,Faculdade
3339,FACULDADE DE GETÚLIO VARGAS,FACULDADE IDEAU,GETULIO VARGAS,RS,Privada,Faculdade
4157,FACULDADE METROPOLITANA DE RIO DO SUL,FAMESUL,RIO DO SUL,SC,Privada,Faculdade
625,FACULDADE CENECISTA DE CAPIVARI,FACECAP,CAPIVARI,SP,Privada,Faculdade
1084,FACULDADE CENECISTA DE BENTO GONÇALVES,FACEBG,BENTO GONCALVES,RS,Privada,Faculdade
138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,RIBEIRAO PRETO,SP,Privada,Centro Universitário
4722,FACULDADES INTEGRADAS VIANNA JÚNIOR,FIVJ,JUIZ DE FORA,MG,Privada,Faculdade
1434,INSTITUTO DE ENSINO SUPERIOR DE ITAPIRA,IESI,ITAPIRA,SP,Privada,Faculdade
15688,FACULDADE DE TECONOLOGIA DA ZONA SUL,FATEC ZONASUL,SAO PAULO,SP,Pública,Faculdade
1351,INSTITUTO SUPERIOR TUPY - IST,IST,JOINVILLE,SC,Privada,Centro Universitário
1901,FACULDADE CATÓLICA DE UBERLÂNDIA,FCU,UBERLANDIA,MG,Privada,Faculdade
4532,FACULDADE DE TECNOLOGIA SENAI CAMPO GRANDE,,CAMPO GRANDE,MS,Privada,Faculdade
1198,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,FACET,CURITIBA,PR,Privada,Faculdade
2157,INSTITUTO SUPERIOR DE EDUCAÇÃO SANT ́ANA,ISESA,PONTA GROSSA,PR,Privada,Faculdade
2343,FACULDADE DA AMAZÔNIA OCIDENTAL,FAAO,RIO BRANCO,AC,Privada,Faculdade
3741,FACULDADE DE EDUCAÇÃO DE BACABAL - FEBAC,FEBAC,BACABAL,MA,Privada,Faculdade
1571,FACULDADE UNIME DE CIÊNCIAS SOCIAIS,FCS,LAURO DE FREITAS,BA,Privada,Faculdade
1459,FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS,FUCAMP,MONTE CARMELO,MG,Privada,Faculdade
4702,FACULDADE DE TECNOLOGIA GESTÃO & MARKETING,IBGM / FGM,RECIFE,PE,Privada,Faculdade
1818,FACULDADE PITÁGORAS DE BELO HORIZONTE,FPAS,BELO HORIZONTE,MG,Privada,Faculdade
1504,FACULDADE MAURÍCIO DE NASSAU DE MACEIÓ,,MACEIO,AL,Privada,Faculdade
430,CENTRO UNIVERSITÁRIO FILADÉLFIA,UNIFIL,LONDRINA,PR,Privada,Centro Universitário
437,UNIVERSIDADE PARANAENSE,UNIPAR,UMUARAMA,PR,Privada,Universidade
3530,FACULDADE DE NANUQUE,FANAN,NANUQUE,MG,Privada,Faculdade
3602,FACULDADES INTEGRADAS DO BRASIL,FACBRASIL,CURITIBA,PR,Privada,Faculdade
2625,FACULDADE DE TECNOLOGIA IBTA - SÃO JOSÉ DOS CAMPOS,IBTA,"SAO JOSE DOSCAMPOS",SP,Privada,Faculdade
645,CENTRO UNIVERSITÁRIO - CATÓLICA DE SANTA CATARINA EM JARAGUÁ DO SUL,Católica em Jaraguá,JARAGUA DO SUL,SC,Privada,Centro Universitário
1386,FACULDADE ESAMC CAMPINAS,ESAMC,CAMPINAS,SP,Privada,Faculdade
3171,FACULDADE EQUIPE,FAE,SAPUCAIA DO SUL,RS,Privada,Faculdade
1777,FACULDADE METROPOLITANA DE GUARAMIRIM,FAMEG,GUARAMIRIM,SC,Privada,Faculdade
3804,FACULDADE SENAC PORTO ALEGRE - FSPOA,SENAC/RS,PORTO ALEGRE,RS,Privada,Faculdade
3853,FACULDADE MAURÍCIO DE NASSAU DE NATAL,FMN NATAL,NATAL,RN,Privada,Faculdade
1775,FACULDADE DO VALE DO IPOJUCA,FAVIP,CARUARU,PE,Privada,Faculdade
1233,CENTRO UNIVERSITÁRIO CÂNDIDO RONDON,UNIRONDON,CUIABA,MT,Privada,Centro Universitário
4495,FACULDADE ANHANGUERA JARAGUÁ DO SUL,FATEJA,JARAGUA DO SUL,SC,Privada,Faculdade
125,"CENTRO UNIVERSITÁRIO DE ARARAS - ""DR. EDMUNDO ULSON""",UNAR,ARARAS,SP,Privada,Centro Universitário
4163,CENTRO UNIVERSITÁRIO BARRIGA VERDE,UNIBAVE,ORLEANS,SC,Privada,Centro Universitário
2961,FACULDADE DO PANTANAL MATOGROSSENSE,FAPAN,CACERES,MT,Privada,Faculdade
3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,CHAPECO,SC,Pública,Universidade
794,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,UNIVAG,VARZEA GRANDE,MT,Privada,Centro Universitário
1490,FACULDADE DE JAGUARIÚNA,FAJ,JAGUARIUNA,SP,Privada,Faculdade
1825,FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS,FEAD,BELO HORIZONTE,MG,Privada,Faculdade
1932,FACULDADE PALOTINA,FAPAS,SANTA MARIA,RS,Privada,Faculdade
4008,FACULDADE DE TECNOLOGIA SENAC PASSO FUNDO,"SENAC PASSOFUNDO",PASSO FUNDO,RS,Privada,Faculdade
886,FACULDADE DE HORTOLÂNDIA,FACH,HORTOLANDIA,SP,Privada,Faculdade
1900,FACULDADE ANCHIETA DE ENSINO SUPERIOR DO PARANÁ,FAESP,CURITIBA,PR,Privada,Faculdade
58,FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,"SAO BERNARDO DOCAMPO",SP,Pública,Faculdade
1337,FACULDADE MATER DEI,FMD,PATO BRANCO,PR,Privada,Faculdade
2312,FACULDADE LUTERANA RUI BARBOSA,FALURB,"MARECHALCANDIDO RONDON",PR,Privada,Faculdade
1478,FACULDADE ANHANGUERA DE SÃO BERNARDO,FASBC,"SAO BERNARDO DOCAMPO",SP,Privada,Faculdade
2499,FACULDADE APOIO,FA,LAURO DE FREITAS,BA,Privada,Faculdade
3955,FACULDADES INTEGRADAS DE CATAGUASES,FIC,CATAGUASES,MG,Privada,Faculdade
2904,FACULDADE JK - GUARÁ,ESAMC BRASÍLIA,BRASILIA,DF,Privada,Faculdade
5451,FACULDADE ANHANGÜERA DE BAURU,,BAURU,SP,Privada,Faculdade
275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,"SAO JOSE DOSCAMPOS",SP,Privada,Universidade
432,FACULDADE PARANAENSE,FACCAR,ROLANDIA,PR,Privada,Faculdade
3397,"FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS",FBNCTSB,MANAUS,AM,Privada,Faculdade
4026,FACULDADE DE TECNOLOGIA ZONA LESTE,FATEC-ZL,SAO PAULO,SP,Pública,Faculdade
266,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,PIRACICABA,SP,Privada,Universidade
1661,FACULDADE PROJEÇÃO DE SOBRADINHO,FAPRO,BRASILIA,DF,Privada,Faculdade
1683,FACULDADE PIAUIENSE,FAP,TERESINA,PI,Privada,Faculdade
1079,FACULDADE MARINGÁ,CESPAR,MARINGA,PR,Privada,Faculdade
665,UNIVERSIDADE DE TAUBATÉ,UNITAU,TAUBATE,SP,Pública,Universidade
144,FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA,FACHO,OLINDA,PE,Privada,Faculdade
1491,CENTRO UNIVERSITÁRIO INTERNACIONAL,UNINTER,CURITIBA,PR,Privada,Centro Universitário
1805,FACULDADE DOS GUARARAPES,FG,"JABOATAO DOGUARARAPES",PE,Privada,Faculdade
3372,CENTRO UNIVERSITÁRIO DE LAVRAS,UNILAVRAS,LAVRAS,MG,Privada,Centro Universitário
3788,FACULDADE JUIZ DE FORA,FJF,JUIZ DE FORA,MG,Privada,Faculdade
1658,FACULDADE INTEGRADA DA GRANDE FORTALEZA,FGF,FORTALEZA,CE,Privada,Faculdade
294,FACULDADE TRÊS DE MAIO,SETREM,TRES DE MAIO,RS,Privada,Faculdade
349,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,BELO HORIZONTE,MG,Privada,Centro Universitário
1887,FACULDADE DE DIREITO DA SERRA,FDS,SERRA,ES,Privada,Faculdade
1100,FACULDADE CARLOS DRUMMOND DE ANDRADE,FCDA,SAO PAULO,SP,Privada,Faculdade
1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,BELO HORIZONTE,MG,Pública,Universidade
1913,FACULDADE DE MINAS,FAMINAS,MURIAE,MG,Privada,Faculdade
2855,FACULDADE SÃO FRANCISCO DE ASSIS,UNIFIN,PORTO ALEGRE,RS,Privada,Faculdade
2835,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,UNINASSAU,RECIFE,PE,Privada,Centro Universitário
650,FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE AVARÉ,IESA/FACCAA,AVARE,SP,Privada,Faculdade
4256,FACULDADES INTEGRADAS PITÁGORAS,FIP-MOC,MONTES CLAROS,MG,Privada,Faculdade
2350,ESCOLA SUPERIOR MADRE CELESTE,ESMAC,ANANINDEUA,PA,Privada,Faculdade
4096,FACULDADE DE TECNOLOGIA TECBRASIL - UNIDADE PORTO ALEGRE,Ftec Porto Alegre,PORTO ALEGRE,RS,Privada,Faculdade
2413,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,FAESF,FLORIANO,PI,Privada,Faculdade
1910,FACULDADE MAURÍCIO DE NASSAU DE LAURO FREITAS,FABAC,LAURO DE FREITAS,BA,Privada,Faculdade
3000,FACULDADE CENECISTA DE SINOP,FACENOP,SINOP,MT,Privada,Faculdade
636,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,ESPM,SAO PAULO,SP,Privada,Faculdade
2484,FACULDADE PROCESSUS,PFD,BRASILIA,DF,Privada,Faculdade
